mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_units,param_model_type,param_learning_rate,param_epochs,param_dropout_rate,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3716158866882324,0.01101051956329161,0.0,0.0,512,DNN,0.05,50,0.2,64,"{'units': 512, 'model_type': 'DNN', 'learning_rate': 0.05, 'epochs': 50, 'dropout_rate': 0.2, 'batch_size': 64}",,,,,,9
0.3596598307291667,0.0031418796031985894,0.0,0.0,256,DNN,0.005,100,0.1,16,"{'units': 256, 'model_type': 'DNN', 'learning_rate': 0.005, 'epochs': 100, 'dropout_rate': 0.1, 'batch_size': 16}",,,,,,9
454.32730706532794,8.491889418057188,81.20573139190674,1.7831731719235722,128,LSTM,0.005,150,0.2,64,"{'units': 128, 'model_type': 'LSTM', 'learning_rate': 0.005, 'epochs': 150, 'dropout_rate': 0.2, 'batch_size': 64}",-143590.83817649676,-159500.35306662705,-229933.39745091755,-177674.8628980138,37518.830749572466,7
2895.350423733393,4.17169348933307,66.94213771820068,2.466580970233632,512,LSTM,0.01,100,0.2,32,"{'units': 512, 'model_type': 'LSTM', 'learning_rate': 0.01, 'epochs': 100, 'dropout_rate': 0.2, 'batch_size': 32}",-131923.0255091747,-142221.9900307969,-174522.94647921872,-149555.9873397301,18148.07527093123,5
3277.3974092006683,7.7060918161877865,8.428880294164022,6.640998920515332,512,GRU,0.005,150,0.3,32,"{'units': 512, 'model_type': 'GRU', 'learning_rate': 0.005, 'epochs': 150, 'dropout_rate': 0.3, 'batch_size': 32}",-134888.52620930958,-138734.76417646348,-128305.24477530648,-133976.1783870265,4306.429506864982,2
1177.9678654670715,34.99388470872111,81.16445255279541,5.942911302111345,256,GRU,0.005,150,0.2,32,"{'units': 256, 'model_type': 'GRU', 'learning_rate': 0.005, 'epochs': 150, 'dropout_rate': 0.2, 'batch_size': 32}",-117764.66043248148,-148885.17018208362,-134062.0580128557,-133570.62954247362,12709.6461588537,1
980.3531138102213,2.54478844410616,95.63372707366943,7.4993645253395185,256,RNN,0.005,100,0.3,16,"{'units': 256, 'model_type': 'RNN', 'learning_rate': 0.005, 'epochs': 100, 'dropout_rate': 0.3, 'batch_size': 16}",-141582.54527176535,-146326.66143762867,-135762.302733995,-141223.83648112966,4320.3335289550405,3
2887.299778064092,126.25081657949315,19.507821639378864,26.481236794969544,256,LSTM,0.005,100,0.3,16,"{'units': 256, 'model_type': 'LSTM', 'learning_rate': 0.005, 'epochs': 100, 'dropout_rate': 0.3, 'batch_size': 16}",-129549.35018338132,-160681.21777772493,-161820.18039811682,-150683.5827864077,14951.391234079849,6
1621.3711382548015,206.3592200828635,108.4423378308614,27.422383857546674,256,GRU,0.005,150,0.3,64,"{'units': 256, 'model_type': 'GRU', 'learning_rate': 0.005, 'epochs': 150, 'dropout_rate': 0.3, 'batch_size': 64}",-134354.5887055068,-157494.85309772776,-138259.02423143244,-143369.48867822232,10114.530609702064,4
825.870242357254,69.08261958762196,143.56178983052573,25.434434123619106,256,RNN,0.005,50,0.3,64,"{'units': 256, 'model_type': 'RNN', 'learning_rate': 0.005, 'epochs': 50, 'dropout_rate': 0.3, 'batch_size': 64}",-154977.14311186087,-206266.47325170672,-190919.5465136377,-184054.3876257351,21494.13333083605,8
